Number of Vehicles in Lane 1,Number of Vehicles in Lane 2,Number of Vehicles in Lane 3,Number of Vehicles in Lane 4,Lane 1 Traffic Flow,Lane 2 Traffic Flow,Lane 3 Traffic Flow,Lane 4 Traffic Flow,Lane 1 On Time,Lane 2 On Time,Lane 3 On Time,Lane 4 On Time,Lane 1 Saturation Flow,Lane 2 Saturation Flow,Lane 3 Saturation Flow,Lane 4 Saturation Flow,Lane 1 Flow Ratio,Lane 2 Flow Ratio,Lane 3 Flow Ratio,Lane 4 Flow Ratio,Total Flow Ratio,Optimum Cycle Time,Width of Lane 1,Width of Lane 2,Width of Lane 3,Width of Lane 4,Intergreen Period,Amber Period,Number of Phases,Initial Delay,Minimum On Time,Maximum Cycle Time,Total Time Lost
30,0,18,18,33.5,0.0,28.75,21.25,16.0,10.0,13.0,12.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.0,0.1597222222222222,0.11805555555555555,0.4638888888888889,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,42,26,1,34.25,65.0,41.5,0.33,23.0,43.0,28.0,10.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.3611111111111111,0.23055555555555557,0.0018333333333333335,0.7837777777777779,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,27,29,30,19.5,42.33,41.25,43.75,14.0,30.0,29.0,31.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.23516666666666666,0.22916666666666666,0.24305555555555555,0.8157222222222222,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
34,5,27,9,45.75,10.5,42.33,12.5,28.0,10.0,26.0,10.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.058333333333333334,0.23516666666666666,0.06944444444444445,0.617111111111111,90.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
33,12,16,27,46.5,25.25,17.0,42.33,33.0,18.0,12.0,30.0,180.0,180.0,180.0,180.0,0.25833333333333336,0.14027777777777778,0.09444444444444444,0.23516666666666666,0.7282222222222222,110.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,24,27,32,12.5,26.5,31.83,38.65,10.0,15.0,18.0,22.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.14722222222222223,0.17683333333333331,0.2147222222222222,0.6082222222222222,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
2,25,9,14,2.75,37.25,12.5,22.25,10.0,18.0,10.0,14.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.20694444444444443,0.06944444444444445,0.12361111111111112,0.41527777777777775,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,17,9,16,21.25,30.5,10.75,23.0,11.0,16.0,10.0,13.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.16944444444444445,0.059722222222222225,0.12777777777777777,0.475,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,9,37,29,2.0,12.5,50.33,41.25,10.0,10.0,30.0,24.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.06944444444444445,0.2796111111111111,0.22916666666666666,0.5893333333333333,90.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,24,24,25,21.25,32.25,29.0,42.5,13.0,20.0,18.0,27.0,180.0,180.0,180.0,180.0,0.11805555555555555,0.17916666666666667,0.16111111111111112,0.2361111111111111,0.6944444444444444,95.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,14,9,4,65.0,16.25,12.5,5.5,33.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.09027777777777778,0.06944444444444445,0.030555555555555555,0.5513888888888889,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
10,42,30,22,14.25,56.5,43.75,32.58,10.0,40.0,31.0,23.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.3138888888888889,0.24305555555555555,0.181,0.8171111111111111,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
34,16,27,2,45.75,20.5,31.83,2.75,25.0,11.0,17.0,10.0,180.0,180.0,180.0,180.0,0.25416666666666665,0.11388888888888889,0.17683333333333331,0.015277777777777777,0.5601666666666666,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
17,26,37,7,26.5,41.5,50.33,11.0,19.0,30.0,36.0,10.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.23055555555555557,0.2796111111111111,0.06111111111111111,0.7184999999999999,110.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,24,14,18,28.75,38.0,22.25,21.25,15.0,20.0,12.0,11.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.2111111111111111,0.12361111111111112,0.11805555555555555,0.6125,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,21,24,38,12.5,28.0,33.0,51.25,10.0,18.0,22.0,34.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.15555555555555556,0.18333333333333332,0.2847222222222222,0.6930555555555555,100.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
31,12,33,37,44.5,25.25,46.5,53.25,27.0,15.0,29.0,33.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.14027777777777778,0.25833333333333336,0.29583333333333334,0.9416666666666667,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
37,24,2,9,50.33,29.0,2.75,12.5,28.0,16.0,10.0,10.0,180.0,180.0,180.0,180.0,0.2796111111111111,0.16111111111111112,0.015277777777777777,0.06944444444444445,0.5254444444444445,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
37,24,16,14,53.25,33.0,17.0,22.25,36.0,22.0,11.0,15.0,180.0,180.0,180.0,180.0,0.29583333333333334,0.18333333333333332,0.09444444444444444,0.12361111111111112,0.6972222222222222,100.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
29,9,17,7,41.25,10.75,26.5,11.0,21.0,10.0,13.0,10.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.059722222222222225,0.14722222222222223,0.06111111111111111,0.49722222222222223,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,4,0,5,12.5,4.0,0.0,10.5,10.0,10.0,10.0,14.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.022222222222222223,0.0,0.058333333333333334,0.15000000000000002,55.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
17,0,14,30,30.5,0.0,22.25,43.75,15.0,10.0,14.0,22.0,180.0,180.0,180.0,180.0,0.16944444444444445,0.0,0.12361111111111112,0.24305555555555555,0.5361111111111111,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,18,18,9,4.0,28.75,21.25,12.5,10.0,15.0,13.0,10.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.1597222222222222,0.11805555555555555,0.06944444444444445,0.36944444444444446,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,24,38,25,43.75,26.5,51.25,37.25,29.0,17.0,34.0,24.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.14722222222222223,0.2847222222222222,0.20694444444444443,0.8819444444444444,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,38,1,26,34.25,66.75,1.0,41.5,23.0,44.0,10.0,27.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.37083333333333335,0.005555555555555556,0.23055555555555557,0.7972222222222223,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,26,1,12,11.0,41.5,1.0,25.25,10.0,21.0,10.0,13.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.23055555555555557,0.005555555555555556,0.14027777777777778,0.4375,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,5,0,37,66.75,10.5,0.0,50.33,45.0,10.0,10.0,34.0,180.0,180.0,180.0,180.0,0.37083333333333335,0.058333333333333334,0.0,0.2796111111111111,0.7087777777777777,115.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
9,0,42,9,12.5,0.0,56.5,10.75,10.0,10.0,30.0,10.0,180.0,180.0,180.0,180.0,0.06944444444444445,0.0,0.3138888888888889,0.059722222222222225,0.44305555555555554,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
31,3,9,9,44.5,2.0,12.5,12.5,22.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.24722222222222223,0.011111111111111112,0.06944444444444445,0.06944444444444445,0.39722222222222225,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
22,31,14,30,32.58,44.5,22.25,43.75,24.0,32.0,16.0,32.0,180.0,180.0,180.0,180.0,0.181,0.24722222222222223,0.12361111111111112,0.24305555555555555,0.794888888888889,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,0,7,25,38.0,0.0,11.0,42.5,19.0,10.0,10.0,21.0,180.0,180.0,180.0,180.0,0.2111111111111111,0.0,0.06111111111111111,0.2361111111111111,0.5083333333333333,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,27,26,42,26.5,34.25,41.5,65.0,16.0,21.0,26.0,40.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.19027777777777777,0.23055555555555557,0.3611111111111111,0.9291666666666667,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,25,14,7,3.0,36.0,22.25,11.0,10.0,18.0,13.0,10.0,180.0,180.0,180.0,180.0,0.016666666666666666,0.2,0.12361111111111112,0.06111111111111111,0.4013888888888889,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,26,4,25,19.5,41.5,4.0,37.25,10.0,23.0,10.0,20.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.23055555555555557,0.022222222222222223,0.20694444444444443,0.5680555555555555,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,17,38,10,4.0,30.5,66.75,14.25,10.0,19.0,41.0,10.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.16944444444444445,0.37083333333333335,0.07916666666666666,0.6416666666666666,95.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,25,1,34,3.0,36.0,0.33,45.75,10.0,17.0,10.0,22.0,180.0,180.0,180.0,180.0,0.016666666666666666,0.2,0.0018333333333333335,0.25416666666666665,0.4726666666666667,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
5,27,0,16,10.5,42.33,0.0,20.5,10.0,20.0,10.0,14.0,180.0,180.0,180.0,180.0,0.058333333333333334,0.23516666666666666,0.0,0.11388888888888889,0.40738888888888886,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
10,9,17,38,14.25,12.5,26.5,51.25,10.0,10.0,15.0,28.0,180.0,180.0,180.0,180.0,0.07916666666666666,0.06944444444444445,0.14722222222222223,0.2847222222222222,0.5805555555555555,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,14,14,3,17.0,22.25,16.25,3.0,10.0,12.0,10.0,10.0,180.0,180.0,180.0,180.0,0.09444444444444444,0.12361111111111112,0.09027777777777778,0.016666666666666666,0.325,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,24,7,10,42.33,32.25,11.0,14.25,25.0,19.0,10.0,10.0,180.0,180.0,180.0,180.0,0.23516666666666666,0.17916666666666667,0.06111111111111111,0.07916666666666666,0.5546111111111112,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,21,31,27,5.5,28.0,44.5,31.83,10.0,16.0,25.0,18.0,180.0,180.0,180.0,180.0,0.030555555555555555,0.15555555555555556,0.24722222222222223,0.17683333333333331,0.6101666666666666,85.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
22,26,12,14,32.58,41.5,19.5,22.25,19.0,25.0,12.0,13.0,180.0,180.0,180.0,180.0,0.181,0.23055555555555557,0.10833333333333334,0.12361111111111112,0.6435,85.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,26,37,14,19.5,41.5,53.25,22.25,15.0,32.0,41.0,17.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.23055555555555557,0.29583333333333334,0.12361111111111112,0.7583333333333333,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,3,17,16,4.0,2.0,26.5,20.5,10.0,10.0,16.0,12.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.011111111111111112,0.14722222222222223,0.11388888888888889,0.29444444444444445,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,9,3,17,34.25,12.5,2.0,26.5,16.0,10.0,10.0,13.0,180.0,180.0,180.0,180.0,0.19027777777777777,0.06944444444444445,0.011111111111111112,0.14722222222222223,0.4180555555555555,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
2,24,31,17,2.75,33.0,44.5,26.5,10.0,19.0,25.0,15.0,180.0,180.0,180.0,180.0,0.015277777777777777,0.18333333333333332,0.24722222222222223,0.14722222222222223,0.5930555555555556,85.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,0,3,16,28.75,0.0,2.0,24.75,16.0,10.0,10.0,13.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.0,0.011111111111111112,0.1375,0.30833333333333335,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
18,19,9,16,28.75,26.75,12.5,24.75,14.0,13.0,10.0,13.0,180.0,180.0,180.0,180.0,0.1597222222222222,0.1486111111111111,0.06944444444444445,0.1375,0.5152777777777777,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,5,31,4,24.75,10.5,44.5,5.5,13.0,10.0,25.0,10.0,180.0,180.0,180.0,180.0,0.1375,0.058333333333333334,0.24722222222222223,0.030555555555555555,0.47361111111111115,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,7,10,27,33.0,11.0,14.25,34.25,17.0,10.0,10.0,17.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.06111111111111111,0.07916666666666666,0.19027777777777777,0.5138888888888888,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,12,1,18,19.5,14.25,1.0,21.25,10.0,10.0,10.0,12.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.07916666666666666,0.005555555555555556,0.11805555555555555,0.3111111111111111,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
19,16,30,7,26.75,20.5,43.75,11.0,14.0,11.0,24.0,10.0,180.0,180.0,180.0,180.0,0.1486111111111111,0.11388888888888889,0.24305555555555555,0.06111111111111111,0.5666666666666667,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,24,1,7,41.5,38.0,1.0,11.0,20.0,19.0,10.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.2111111111111111,0.005555555555555556,0.06111111111111111,0.5083333333333333,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,24,27,26,11.0,29.0,34.25,41.5,10.0,18.0,21.0,25.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.16111111111111112,0.19027777777777777,0.23055555555555557,0.6430555555555555,90.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,16,17,24,0.0,20.5,30.5,26.5,10.0,13.0,15.0,13.0,180.0,180.0,180.0,180.0,0.0,0.11388888888888889,0.16944444444444445,0.14722222222222223,0.4305555555555556,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,37,12,14,25.25,53.25,14.25,22.25,16.0,34.0,10.0,14.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.29583333333333334,0.07916666666666666,0.12361111111111112,0.6388888888888888,90.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,7,12,30,33.0,11.0,25.25,33.5,18.0,10.0,14.0,18.0,180.0,180.0,180.0,180.0,0.18333333333333332,0.06111111111111111,0.14027777777777778,0.18611111111111112,0.5708333333333333,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
4,25,3,30,4.0,36.0,3.0,33.5,10.0,20.0,10.0,19.0,180.0,180.0,180.0,180.0,0.022222222222222223,0.2,0.016666666666666666,0.18611111111111112,0.42500000000000004,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
29,18,14,3,41.25,28.75,16.25,3.0,20.0,14.0,10.0,10.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.1597222222222222,0.09027777777777778,0.016666666666666666,0.4958333333333333,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,16,38,27,33.5,24.75,66.75,42.33,21.0,15.0,41.0,26.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.1375,0.37083333333333335,0.23516666666666666,0.929611111111111,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
17,21,38,34,26.5,28.0,51.25,45.75,18.0,19.0,35.0,31.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.15555555555555556,0.2847222222222222,0.25416666666666665,0.8416666666666667,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,32,4,31,25.25,38.65,5.5,44.5,14.0,23.0,10.0,26.0,180.0,180.0,180.0,180.0,0.14027777777777778,0.2147222222222222,0.030555555555555555,0.24722222222222223,0.6327777777777778,90.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,26,9,18,19.5,29.41,12.5,21.25,10.0,14.0,10.0,11.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.1633888888888889,0.06944444444444445,0.11805555555555555,0.4592222222222222,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,16,9,25,17.0,24.75,12.5,36.0,10.0,13.0,10.0,19.0,180.0,180.0,180.0,180.0,0.09444444444444444,0.1375,0.06944444444444445,0.2,0.5013888888888889,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
12,25,37,2,19.5,37.25,53.25,2.75,11.0,22.0,31.0,10.0,180.0,180.0,180.0,180.0,0.10833333333333334,0.20694444444444443,0.29583333333333334,0.015277777777777777,0.6263888888888889,90.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
16,14,9,1,17.0,22.25,12.5,1.0,10.0,13.0,10.0,10.0,180.0,180.0,180.0,180.0,0.09444444444444444,0.12361111111111112,0.06944444444444445,0.005555555555555556,0.2930555555555555,60.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,0,24,10,29.41,0.0,33.0,14.25,16.0,10.0,19.0,10.0,180.0,180.0,180.0,180.0,0.1633888888888889,0.0,0.18333333333333332,0.07916666666666666,0.4258888888888889,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,30,5,0,32.25,43.75,10.5,0.0,16.0,22.0,10.0,10.0,180.0,180.0,180.0,180.0,0.17916666666666667,0.24305555555555555,0.058333333333333334,0.0,0.48055555555555557,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
24,10,0,17,29.0,14.25,0.0,26.5,14.0,10.0,10.0,14.0,180.0,180.0,180.0,180.0,0.16111111111111112,0.07916666666666666,0.0,0.14722222222222223,0.3875,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
26,26,4,9,41.5,29.41,5.5,12.5,21.0,15.0,10.0,10.0,180.0,180.0,180.0,180.0,0.23055555555555557,0.1633888888888889,0.030555555555555555,0.06944444444444445,0.4939444444444444,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
32,24,25,7,38.65,33.0,37.25,11.0,24.0,21.0,24.0,10.0,180.0,180.0,180.0,180.0,0.2147222222222222,0.18333333333333332,0.20694444444444443,0.06111111111111111,0.6661111111111111,95.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
17,9,0,0,26.5,12.5,0.0,0.0,18.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.14722222222222223,0.06944444444444445,0.0,0.0,0.21666666666666667,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,27,30,14,2.0,34.25,33.5,16.25,10.0,18.0,18.0,10.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.19027777777777777,0.18611111111111112,0.09027777777777778,0.47777777777777775,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
22,27,4,37,32.58,34.25,4.0,53.25,22.0,23.0,10.0,35.0,180.0,180.0,180.0,180.0,0.181,0.19027777777777777,0.022222222222222223,0.29583333333333334,0.6893333333333334,105.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
22,0,14,27,32.58,0.0,22.25,31.83,17.0,10.0,14.0,16.0,180.0,180.0,180.0,180.0,0.181,0.0,0.12361111111111112,0.17683333333333331,0.48144444444444445,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,29,0,24,3.0,41.25,0.0,29.0,10.0,20.0,10.0,14.0,180.0,180.0,180.0,180.0,0.016666666666666666,0.22916666666666666,0.0,0.16111111111111112,0.40694444444444444,70.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,14,27,16,65.0,22.25,31.83,23.0,48.0,16.0,23.0,17.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.12361111111111112,0.17683333333333331,0.12777777777777777,0.7893333333333333,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,0,12,16,43.75,0.0,19.5,20.5,20.0,10.0,11.0,12.0,180.0,180.0,180.0,180.0,0.24305555555555555,0.0,0.10833333333333334,0.11388888888888889,0.46527777777777773,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,12,12,4,51.25,19.5,25.25,5.5,29.0,10.0,13.0,10.0,180.0,180.0,180.0,180.0,0.2847222222222222,0.10833333333333334,0.14027777777777778,0.030555555555555555,0.5638888888888889,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
0,37,19,12,0.0,53.25,26.75,14.25,10.0,30.0,15.0,10.0,180.0,180.0,180.0,180.0,0.0,0.29583333333333334,0.1486111111111111,0.07916666666666666,0.523611111111111,80.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
19,16,27,30,26.75,24.75,42.33,43.75,20.0,19.0,32.0,33.0,180.0,180.0,180.0,180.0,0.1486111111111111,0.1375,0.23516666666666666,0.24305555555555555,0.7643333333333333,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
30,10,0,0,33.5,14.25,0.0,0.0,18.0,10.0,10.0,10.0,180.0,180.0,180.0,180.0,0.18611111111111112,0.07916666666666666,0.0,0.0,0.2652777777777778,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
17,16,0,14,30.5,24.75,0.0,22.25,15.0,12.0,10.0,14.0,180.0,180.0,180.0,180.0,0.16944444444444445,0.1375,0.0,0.12361111111111112,0.4305555555555556,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
5,27,12,17,10.5,42.33,14.25,30.5,10.0,23.0,10.0,16.0,180.0,180.0,180.0,180.0,0.058333333333333334,0.23516666666666666,0.07916666666666666,0.16944444444444445,0.5421111111111111,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
27,19,37,14,31.83,26.75,53.25,16.25,22.0,19.0,37.0,11.0,180.0,180.0,180.0,180.0,0.17683333333333331,0.1486111111111111,0.29583333333333334,0.09027777777777778,0.7115555555555556,105.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
7,26,5,30,11.0,41.5,10.5,33.5,10.0,22.0,10.0,18.0,180.0,180.0,180.0,180.0,0.06111111111111111,0.23055555555555557,0.058333333333333334,0.18611111111111112,0.5361111111111112,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
14,12,33,9,22.25,14.25,46.5,12.5,11.0,10.0,26.0,10.0,180.0,180.0,180.0,180.0,0.12361111111111112,0.07916666666666666,0.25833333333333336,0.06944444444444445,0.5305555555555556,75.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
3,16,21,0,2.0,24.75,28.0,0.0,10.0,14.0,15.0,10.0,180.0,180.0,180.0,180.0,0.011111111111111112,0.1375,0.15555555555555556,0.0,0.3041666666666667,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
29,25,3,26,41.25,36.0,2.0,29.41,23.0,20.0,10.0,16.0,180.0,180.0,180.0,180.0,0.22916666666666666,0.2,0.011111111111111112,0.1633888888888889,0.6036666666666667,85.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
38,0,25,18,51.25,0.0,42.5,28.75,33.0,10.0,27.0,19.0,180.0,180.0,180.0,180.0,0.2847222222222222,0.0,0.2361111111111111,0.1597222222222222,0.6805555555555555,105.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
25,4,4,24,37.25,5.5,4.0,26.5,17.0,10.0,10.0,12.0,180.0,180.0,180.0,180.0,0.20694444444444443,0.030555555555555555,0.022222222222222223,0.14722222222222223,0.40694444444444444,65.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
42,18,25,26,65.0,21.25,36.0,41.5,41.0,13.0,23.0,26.0,180.0,180.0,180.0,180.0,0.3611111111111111,0.11805555555555555,0.2,0.23055555555555557,0.9097222222222223,120.0,10.0,10.0,10.0,10.0,4.0,2.0,4.0,0.0,10.0,120.0,16.0
